Nama Lokasi,Latitude,Longitude,Alamat,Deskripsi,Kategori,Kategori_ID,Confidence_Score,Manual_Review
Wisata Kuliner Pelajar Kota Bandar Lampung,-5.4207493,105.2542113,"Jl. Ade Irma Suryani, Palapa, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35213 ",,kuliner,4,1.0,False
The Angry Crab,-5.430667,105.2616219,"Jl. Diponegoro No.3, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212 ",,kuliner,4,1.0,True
Resto Alam Kuring,-5.4072039,105.2852031,"Jl. Ridwan Rais No.23c, Tj. Baru, Kec. Kedamaian, Kota Bandar Lampung, Lampung 35122 ",,kuliner,4,1.0,True
"Bebek Prakoso 3, cabang Pahoman, Bandar Lampung",-5.426291,105.2751297,"Jl. Gatot Subroto No.63, Pahoman, Enggal, Kota Bandar Lampung, Lampung 35226 ",,kuliner,4,1.0,True
Kinar Resto,-5.4131915,105.2350314,"Haji Agus Salim No.88, Sukadana Ham, Kec. Tj. Karang Bar., Kota Bandar Lampung, Lampung 35116 ",,kuliner,4,1.0,True
Ayam Bakar Mbok Jum 5 ( Rajabasa ),-5.3738415,105.2419943,"Jl. ZA. Pagar Alam, Gedong Meneng, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35146 ",,kuliner,4,1.0,True
My Kopi O! Lampung City Mall,-5.4436687,105.280178,"Jl. Yos Sudarso No.80, Bumi Waras, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35226 ",,kuliner,4,1.0,True
Rumah Makan Sendok Mas,-5.421627,105.255933,"SPBU. 24.351.35, Jl. Jenderal Ahmad Yani No.21, Pelita, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35213 ",,kuliner,4,1.0,False
Samwon Express,-5.3823859,105.259154,"Mall Bumi Kedaton Lantai GF-1, Jalan Teuku Umar, Kedaton, Kec. Kedaton, Kota Bandar Lampung, Lampung 35141 ",,kuliner,4,1.0,True
Kuliner Bu D' ENO Bandar lampung,-5.4017985,105.2922713,"Jl. Sapir No.14, Sukabumi Indah, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122 ",,kuliner,4,1.0,False
